Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2019,2,Bega Valley,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Townhouse,2 Bedrooms,-,-,-,-,56.00,-,-,-,-
2019,2,Bega Valley,Townhouse,3 Bedrooms,345,360,393,s,86.00,-14.29%,-8.86%,-15.38%,57.14%
2019,2,Bega Valley,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Flat/Unit,Total,251,300,329,78.00,761.00,7.14%,11.11%,-8.24%,-8.24%
2019,2,Bega Valley,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Flat/Unit,1 Bedroom,180,210,260,s,109.00,2.44%,5.00%,-35.00%,-7.14%
2019,2,Bega Valley,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2019,2,Bega Valley,Flat/Unit,2 Bedrooms,265,300,320,50.00,508.00,3.45%,10.09%,-5.66%,-7.41%
2019,2,Bega Valley,Flat/Unit,3 Bedrooms,298,330,408,s,115.00,8.20%,-5.71%,50.00%,-6.25%
2019,2,Bega Valley,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Total,Total,300,360,443,104.00,837.00,2.86%,2.86%,2.97%,26.83%
2019,2,Bellingen,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Total,1 Bedroom,-,-,-,-,60.00,-,-,-,-
2019,2,Bellingen,Total,Not Specified,-,-,-,-,54.00,-,-,-,-
2019,2,Bellingen,Total,2 Bedrooms,258,300,350,s,210.00,-3.23%,-6.25%,-15.15%,33.33%
2019,2,Bellingen,Total,3 Bedrooms,351,385,440,38.00,361.00,0.65%,1.32%,0.00%,22.58%
2019,2,Bellingen,Total,4 or more Bedrooms,410,463,498,s,147.00,6.94%,2.78%,85.71%,36.84%
2019,2,Bellingen,House,Total,350,400,458,78.00,589.00,5.26%,3.90%,14.71%,34.48%
