Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2016,2,Lake Macquarie,House,Total,-,-,-,721.00,6961.00,-,-,-,-
2016,2,Maitland,House,Total,-,-,-,351.00,3862.00,-,-,-,-
2016,2,Newcastle,House,Total,-,-,-,625.00,6444.00,-,-,-,-
2016,2,Port Stephens,House,Total,-,-,-,301.00,2870.00,-,-,-,-
2016,2,Shellharbour,House,Total,-,-,-,183.00,2155.00,-,-,-,-
2016,2,Wollongong,House,Total,-,-,-,505.00,5466.00,-,-,-,-
2016,2,Cessnock,Flat/Unit,Total,-,-,-,98.00,875.00,-,-,-,-
2016,2,Kiama,Flat/Unit,Total,-,-,-,32.00,318.00,-,-,-,-
2016,2,Lake Macquarie,Flat/Unit,Total,-,-,-,185.00,2260.00,-,-,-,-
2016,2,Maitland,Flat/Unit,Total,-,-,-,115.00,1317.00,-,-,-,-
2016,2,Newcastle,Flat/Unit,Total,-,-,-,559.00,5164.00,-,-,-,-
2016,2,Port Stephens,Flat/Unit,Total,-,-,-,104.00,997.00,-,-,-,-
2016,2,Shellharbour,Flat/Unit,Total,-,-,-,85.00,923.00,-,-,-,-
2016,2,Wollongong,Flat/Unit,Total,-,-,-,739.00,7812.00,-,-,-,-
2016,2,Cessnock,Total,Total,-,-,-,489.00,4928.00,0.6,2.6,22.3,-4.7
2016,2,Kiama,Total,Total,-,-,-,137.00,1458.00,-1.6,-0.9,19.1,-9.3
2016,2,Lake Macquarie,Total,Total,-,-,-,1321.00,13445.00,0.6,3.4,4.5,11.4
2016,2,Maitland,Total,Total,-,-,-,641.00,6870.00,0.7,3.5,-0.8,-8.3
2016,2,Newcastle,Total,Total,-,-,-,2112.00,20468.00,0.7,3.5,-19.7,2.5
2016,2,Port Stephens,Total,Total,-,-,-,538.00,5544.00,-0.2,2.9,-1.3,7.8
2016,2,Shellharbour,Total,Total,-,-,-,412.00,4584.00,-0.5,2.6,3.3,-5.1
2016,2,Wollongong,Total,Total,-,-,-,1664.00,18772.00,0.6,2.9,-10.2,5.7
2015,2,Ashfield,Total,1 Bedroom,-,370,-,-,-,0.7,2.8,-,-
2015,2,Botany Bay,Total,1 Bedroom,-,530,-,-,-,3.9,23.3,-,-
2015,2,Lane Cove,Total,1 Bedroom,-,495,-,-,-,0.0,-1.0,-,-
2015,2,Leichhardt,Total,1 Bedroom,-,440,-,-,-,4.8,0.0,-,-
2015,2,Marrickville,Total,1 Bedroom,-,390,-,-,-,-2.5,1.3,-,-
2015,2,Mosman,Total,1 Bedroom,-,460,-,-,-,2.2,2.2,-,-
2015,2,North Sydney,Total,1 Bedroom,-,500,-,-,-,4.2,4.2,-,-
2015,2,Randwick,Total,1 Bedroom,-,480,-,-,-,-1.0,2.1,-,-
2015,2,Sydney,Total,1 Bedroom,-,525,-,-,-,-0.9,-2.8,-,-
2015,2,Waverley,Total,1 Bedroom,-,515,-,-,-,1.0,3.0,-,-
2015,2,Woollahra,Total,1 Bedroom,-,480,-,-,-,0.0,0.0,-,-
2015,2,Ashfield,Total,2 Bedrooms,-,450,-,-,-,-2.2,0.0,-,-
2015,2,Botany Bay,Total,2 Bedrooms,-,640,-,-,-,6.7,30.6,-,-
2015,2,Lane Cove,Total,2 Bedrooms,-,523,-,-,-,1.5,4.5,-,-
2015,2,Leichhardt,Total,2 Bedrooms,-,650,-,-,-,-3.0,0.0,-,-
2015,2,Marrickville,Total,2 Bedrooms,-,525,-,-,-,1.0,2.9,-,-
2015,2,Mosman,Total,2 Bedrooms,-,633,-,-,-,4.5,3.7,-,-
2015,2,North Sydney,Total,2 Bedrooms,-,650,-,-,-,2.0,0.8,-,-
2015,2,Randwick,Total,2 Bedrooms,-,600,-,-,-,0.0,1.7,-,-
2015,2,Sydney,Total,2 Bedrooms,-,720,-,-,-,2.9,2.9,-,-
2015,2,Waverley,Total,2 Bedrooms,-,680,-,-,-,-2.2,0.0,-,-
2015,2,Woollahra,Total,2 Bedrooms,-,700,-,-,-,0.1,2.9,-,-
2015,2,Ashfield,Total,3 Bedrooms,-,630,-,-,-,-7.4,-1.6,-,-
2015,2,Botany Bay,Total,3 Bedrooms,-,720,-,-,-,4.3,5.1,-,-
2015,2,Lane Cove,Total,3 Bedrooms,-,770,-,-,-,1.3,4.1,-,-
2015,2,Leichhardt,Total,3 Bedrooms,-,850,-,-,-,0.6,0.0,-,-
2015,2,Marrickville,Total,3 Bedrooms,-,765,-,-,-,-1.6,4.4,-,-
2015,2,Mosman,Total,3 Bedrooms,-,1150,-,-,-,7.0,4.5,-,-
2015,2,North Sydney,Total,3 Bedrooms,-,895,-,-,-,-0.6,-0.6,-,-
2015,2,Randwick,Total,3 Bedrooms,-,850,-,-,-,6.3,6.3,-,-
2015,2,Sydney,Total,3 Bedrooms,-,960,-,-,-,1.1,3.2,-,-
2015,2,Waverley,Total,3 Bedrooms,-,973,-,-,-,-4.7,2.4,-,-
2015,2,Woollahra,Total,3 Bedrooms,-,1195,-,-,-,-0.4,13.8,-,-
2015,2,Ashfield,Total,4 or more Bedrooms,-,880,-,-,-,-1.1,-,-,-
2015,2,Botany Bay,Total,4 or more Bedrooms,-,925,-,-,-,-7.5,-,-,-
2015,2,Lane Cove,Total,4 or more Bedrooms,-,1200,-,-,-,0.0,7.1,-,-
2015,2,Leichhardt,Total,4 or more Bedrooms,-,1195,-,-,-,-0.4,-0.4,-,-
2015,2,Marrickville,Total,4 or more Bedrooms,-,975,-,-,-,-0.3,8.3,-,-
2015,2,Mosman,Total,4 or more Bedrooms,-,1975,-,-,-,-8.1,-1.3,-,-
2015,2,North Sydney,Total,4 or more Bedrooms,-,1440,-,-,-,16.4,-13.8,-,-
2015,2,Randwick,Total,4 or more Bedrooms,-,1260,-,-,-,9.6,18.3,-,-
2015,2,Sydney,Total,4 or more Bedrooms,-,1100,-,-,-,0.0,4.8,-,-
2015,2,Waverley,Total,4 or more Bedrooms,-,1450,-,-,-,-9.4,-23.7,-,-
2015,2,Woollahra,Total,4 or more Bedrooms,-,1600,-,-,-,0.0,0.0,-,-
2015,2,Auburn,Total,1 Bedroom,-,450,-,-,-,3.4,4.7,-,-
2015,2,Bankstown,Total,1 Bedroom,-,250,-,-,-,-7.4,-3.8,-,-
2015,2,Burwood,Total,1 Bedroom,-,393,-,-,-,-7.6,-3.1,-,-
2015,2,Canterbury,Total,1 Bedroom,-,330,-,-,-,10.0,10.0,-,-
2015,2,Canada Bay,Total,1 Bedroom,-,510,-,-,-,2.0,2.0,-,-
2015,2,Hunters Hill,Total,1 Bedroom,-,400,-,-,-,1.9,-,-,-
2015,2,Hurstville,Total,1 Bedroom,-,385,-,-,-,-1.3,6.9,-,-
2015,2,Kogarah,Total,1 Bedroom,-,405,-,-,-,1.3,15.7,-,-
2015,2,Ku-ring-gai,Total,1 Bedroom,-,480,-,-,-,2.1,3.2,-,-
2015,2,Manly,Total,1 Bedroom,-,530,-,-,-,0.0,0.5,-,-
2015,2,Parramatta,Total,1 Bedroom,-,345,-,-,-,-2.8,-9.2,-,-
2015,2,Rockdale,Total,1 Bedroom,-,450,-,-,-,0.0,9.8,-,-
2015,2,Ryde,Total,1 Bedroom,-,450,-,-,-,-2.2,7.1,-,-
2015,2,Strathfield,Total,1 Bedroom,-,395,-,-,-,-1.3,-1.3,-,-
2015,2,Willoughby,Total,1 Bedroom,-,515,-,-,-,0.0,3.0,-,-
2015,2,Auburn,Total,2 Bedrooms,-,450,-,-,-,-2.2,0.0,-,-
2015,2,Bankstown,Total,2 Bedrooms,-,400,-,-,-,0.0,0.0,-,-
2015,2,Burwood,Total,2 Bedrooms,-,510,-,-,-,-1.9,2.0,-,-
2015,2,Canterbury,Total,2 Bedrooms,-,380,-,-,-,0.0,2.7,-,-
2015,2,Canada Bay,Total,2 Bedrooms,-,620,-,-,-,1.6,3.3,-,-
2015,2,Hunters Hill,Total,2 Bedrooms,-,563,-,-,-,-4.7,-3.0,-,-
2015,2,Hurstville,Total,2 Bedrooms,-,448,-,-,-,4.1,6.5,-,-
2015,2,Kogarah,Total,2 Bedrooms,-,475,-,-,-,1.6,8.0,-,-
2015,2,Ku-ring-gai,Total,2 Bedrooms,-,600,-,-,-,0.0,1.7,-,-
2015,2,Manly,Total,2 Bedrooms,-,730,-,-,-,5.0,12.3,-,-
2015,2,Parramatta,Total,2 Bedrooms,-,430,-,-,-,2.4,2.4,-,-
2015,2,Rockdale,Total,2 Bedrooms,-,500,-,-,-,0.0,11.1,-,-
2015,2,Ryde,Total,2 Bedrooms,-,485,-,-,-,7.8,7.8,-,-
2015,2,Strathfield,Total,2 Bedrooms,-,490,-,-,-,0.0,2.1,-,-
2015,2,Willoughby,Total,2 Bedrooms,-,600,-,-,-,-6.6,-1.6,-,-
2015,2,Auburn,Total,3 Bedrooms,-,515,-,-,-,-2.8,3.0,-,-
2015,2,Bankstown,Total,3 Bedrooms,-,500,-,-,-,0.0,4.2,-,-
2015,2,Burwood,Total,3 Bedrooms,-,620,-,-,-,-2.0,-4.6,-,-
2015,2,Canterbury,Total,3 Bedrooms,-,550,-,-,-,0.0,0.0,-,-
2015,2,Canada Bay,Total,3 Bedrooms,-,760,-,-,-,2.7,1.0,-,-
2015,2,Hunters Hill,Total,3 Bedrooms,-,790,-,-,-,-18.1,-24.8,-,-
2015,2,Hurstville,Total,3 Bedrooms,-,575,-,-,-,4.5,4.5,-,-
2015,2,Kogarah,Total,3 Bedrooms,-,580,-,-,-,0.0,5.5,-,-
2015,2,Ku-ring-gai,Total,3 Bedrooms,-,785,-,-,-,1.9,0.6,-,-
2015,2,Manly,Total,3 Bedrooms,-,950,-,-,-,-4.8,-3.8,-,-
2015,2,Parramatta,Total,3 Bedrooms,-,510,-,-,-,2.0,2.0,-,-
2015,2,Rockdale,Total,3 Bedrooms,-,620,-,-,-,3.3,6.9,-,-
2015,2,Ryde,Total,3 Bedrooms,-,650,-,-,-,0.0,6.6,-,-
2015,2,Strathfield,Total,3 Bedrooms,-,610,-,-,-,1.7,5.2,-,-
2015,2,Willoughby,Total,3 Bedrooms,-,915,-,-,-,7.6,-1.1,-,-
2015,2,Auburn,Total,4 or more Bedrooms,-,650,-,-,-,6.6,2.4,-,-
2015,2,Bankstown,Total,4 or more Bedrooms,-,620,-,-,-,-1.6,3.3,-,-
2015,2,Burwood,Total,4 or more Bedrooms,-,800,-,-,-,-1.8,11.9,-,-
2015,2,Canterbury,Total,4 or more Bedrooms,-,660,-,-,-,1.5,3.5,-,-
2015,2,Canada Bay,Total,4 or more Bedrooms,-,995,-,-,-,4.7,9.3,-,-
2015,2,Hunters Hill,Total,4 or more Bedrooms,-,1295,-,-,-,-12.2,20.5,-,-
2015,2,Hurstville,Total,4 or more Bedrooms,-,680,-,-,-,-2.9,-0.4,-,-
2015,2,Kogarah,Total,4 or more Bedrooms,-,790,-,-,-,1.3,12.9,-,-
2015,2,Ku-ring-gai,Total,4 or more Bedrooms,-,1130,-,-,-,2.7,4.1,-,-
2015,2,Manly,Total,4 or more Bedrooms,-,1475,-,-,-,-1.7,13.9,-,-
2015,2,Parramatta,Total,4 or more Bedrooms,-,600,-,-,-,0.0,2.6,-,-
2015,2,Rockdale,Total,4 or more Bedrooms,-,738,-,-,-,0.3,7.7,-,-
2015,2,Ryde,Total,4 or more Bedrooms,-,800,-,-,-,6.7,0.0,-,-
2015,2,Strathfield,Total,4 or more Bedrooms,-,800,-,-,-,5.3,14.3,-,-
2015,2,Willoughby,Total,4 or more Bedrooms,-,1190,-,-,-,-0.8,-0.8,-,-
2015,2,The Hills Shire,Total,1 Bedroom,-,350,-,-,-,-11.4,6.1,-,-
2015,2,Blacktown,Total,1 Bedroom,-,270,-,-,-,8.0,8.0,-,-
2015,2,Blue Mountains,Total,1 Bedroom,-,250,-,-,-,2.0,0.0,-,-
2015,2,Camden,Total,1 Bedroom,-,300,-,-,-,-,-,-,-
2015,2,Campbelltown,Total,1 Bedroom,-,268,-,-,-,4.9,-0.9,-,-
2015,2,Fairfield,Total,1 Bedroom,-,259,-,-,-,8.0,3.7,-,-
2015,2,Gosford,Total,1 Bedroom,-,260,-,-,-,4.0,8.3,-,-
2015,2,Hawkesbury,Total,1 Bedroom,-,280,-,-,-,16.7,21.7,-,-
2015,2,Holroyd,Total,1 Bedroom,-,300,-,-,-,-0.8,5.3,-,-
2015,2,Hornsby,Total,1 Bedroom,-,380,-,-,-,-2.6,-2.6,-,-
2015,2,Liverpool,Total,1 Bedroom,-,270,-,-,-,0.0,8.0,-,-
2015,2,Penrith,Total,1 Bedroom,-,245,-,-,-,-2.0,2.1,-,-
2015,2,Pittwater,Total,1 Bedroom,-,410,-,-,-,2.5,2.5,-,-
2015,2,Sutherland,Total,1 Bedroom,-,350,-,-,-,-2.8,0.0,-,-
2015,2,Warringah,Total,1 Bedroom,-,430,-,-,-,1.2,1.2,-,-
2015,2,Wollondilly,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2015,2,Wyong,Total,1 Bedroom,-,225,-,-,-,2.3,5.9,-,-
2015,2,The Hills Shire,Total,2 Bedrooms,-,500,-,-,-,0.0,6.4,-,-
2015,2,Blacktown,Total,2 Bedrooms,-,370,-,-,-,2.8,5.7,-,-
2015,2,Blue Mountains,Total,2 Bedrooms,-,350,-,-,-,4.5,6.1,-,-
2015,2,Camden,Total,2 Bedrooms,-,400,-,-,-,6.7,7.4,-,-
2015,2,Campbelltown,Total,2 Bedrooms,-,350,-,-,-,6.1,8.5,-,-
2015,2,Fairfield,Total,2 Bedrooms,-,330,-,-,-,0.0,3.1,-,-
2015,2,Gosford,Total,2 Bedrooms,-,350,-,-,-,0.0,6.1,-,-
2015,2,Hawkesbury,Total,2 Bedrooms,-,320,-,-,-,0.0,6.7,-,-
2015,2,Holroyd,Total,2 Bedrooms,-,400,-,-,-,0.0,0.0,-,-
2015,2,Hornsby,Total,2 Bedrooms,-,490,-,-,-,1.6,2.6,-,-
2015,2,Liverpool,Total,2 Bedrooms,-,350,-,-,-,0.0,0.0,-,-
2015,2,Penrith,Total,2 Bedrooms,-,310,-,-,-,0.0,3.3,-,-
2015,2,Pittwater,Total,2 Bedrooms,-,595,-,-,-,0.0,6.3,-,-
2015,2,Sutherland,Total,2 Bedrooms,-,450,-,-,-,0.0,2.3,-,-
2015,2,Warringah,Total,2 Bedrooms,-,570,-,-,-,0.9,3.6,-,-
2015,2,Wollondilly,Total,2 Bedrooms,-,320,-,-,-,0.0,0.0,-,-
2015,2,Wyong,Total,2 Bedrooms,-,310,-,-,-,0.0,3.3,-,-
2015,2,The Hills Shire,Total,3 Bedrooms,-,560,-,-,-,-1.8,0.0,-,-
2015,2,Blacktown,Total,3 Bedrooms,-,420,-,-,-,2.4,5.0,-,-
2015,2,Blue Mountains,Total,3 Bedrooms,-,400,-,-,-,0.0,1.3,-,-
2015,2,Camden,Total,3 Bedrooms,-,445,-,-,-,2.3,3.5,-,-
2015,2,Campbelltown,Total,3 Bedrooms,-,395,-,-,-,1.3,2.6,-,-
2015,2,Fairfield,Total,3 Bedrooms,-,435,-,-,-,0.0,3.6,-,-
2015,2,Gosford,Total,3 Bedrooms,-,430,-,-,-,2.4,7.5,-,-
2015,2,Hawkesbury,Total,3 Bedrooms,-,420,-,-,-,0.0,2.4,-,-
2015,2,Holroyd,Total,3 Bedrooms,-,470,-,-,-,-1.1,3.3,-,-
2015,2,Hornsby,Total,3 Bedrooms,-,600,-,-,-,1.7,2.6,-,-
2015,2,Liverpool,Total,3 Bedrooms,-,450,-,-,-,0.0,2.3,-,-
2015,2,Penrith,Total,3 Bedrooms,-,400,-,-,-,0.0,2.6,-,-
2015,2,Pittwater,Total,3 Bedrooms,-,800,-,-,-,0.0,0.0,-,-
2015,2,Sutherland,Total,3 Bedrooms,-,615,-,-,-,2.5,2.5,-,-
2015,2,Warringah,Total,3 Bedrooms,-,780,-,-,-,-1.9,-1.9,-,-
2015,2,Wollondilly,Total,3 Bedrooms,-,400,-,-,-,4.6,2.6,-,-
2015,2,Wyong,Total,3 Bedrooms,-,380,-,-,-,2.7,5.6,-,-
2015,2,The Hills Shire,Total,4 or more Bedrooms,-,700,-,-,-,2.9,0.0,-,-
2015,2,Blacktown,Total,4 or more Bedrooms,-,550,-,-,-,1.9,2.8,-,-
2015,2,Blue Mountains,Total,4 or more Bedrooms,-,480,-,-,-,-2.0,-4.0,-,-
2015,2,Camden,Total,4 or more Bedrooms,-,535,-,-,-,0.9,2.9,-,-
2015,2,Campbelltown,Total,4 or more Bedrooms,-,490,-,-,-,2.1,5.4,-,-
2015,2,Fairfield,Total,4 or more Bedrooms,-,520,-,-,-,4.0,4.0,-,-
2015,2,Gosford,Total,4 or more Bedrooms,-,540,-,-,-,-1.8,3.8,-,-
2015,2,Hawkesbury,Total,4 or more Bedrooms,-,548,-,-,-,9.5,14.1,-,-
2015,2,Holroyd,Total,4 or more Bedrooms,-,600,-,-,-,3.9,9.1,-,-
2015,2,Hornsby,Total,4 or more Bedrooms,-,750,-,-,-,0.0,2.0,-,-
2015,2,Liverpool,Total,4 or more Bedrooms,-,560,-,-,-,0.0,3.7,-,-
2015,2,Penrith,Total,4 or more Bedrooms,-,500,-,-,-,1.0,2.5,-,-
2015,2,Pittwater,Total,4 or more Bedrooms,-,1050,-,-,-,-4.5,-6.7,-,-
2015,2,Sutherland,Total,4 or more Bedrooms,-,780,-,-,-,1.3,6.8,-,-
2015,2,Warringah,Total,4 or more Bedrooms,-,1030,-,-,-,-5.3,3.5,-,-
2015,2,Wollondilly,Total,4 or more Bedrooms,-,530,-,-,-,8.2,10.4,-,-
2015,2,Wyong,Total,4 or more Bedrooms,-,455,-,-,-,1.1,1.1,-,-
2015,2,Cessnock,Total,1 Bedroom,-,188,-,-,-,2.7,1.4,-,-
2015,2,Kiama,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2015,2,Lake Macquarie,Total,1 Bedroom,-,210,-,-,-,-8.7,-4.5,-,-
2015,2,Maitland,Total,1 Bedroom,-,180,-,-,-,-8.9,-2.7,-,-
2015,2,Newcastle,Total,1 Bedroom,-,248,-,-,-,3.1,15.1,-,-
2015,2,Port Stephens,Total,1 Bedroom,-,220,-,-,-,2.3,11.4,-,-
2015,2,Shellharbour,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2015,2,Wollongong,Total,1 Bedroom,-,245,-,-,-,-2.0,11.4,-,-
2015,2,Cessnock,Total,2 Bedrooms,-,250,-,-,-,-2.0,-3.8,-,-
2015,2,Kiama,Total,2 Bedrooms,-,380,-,-,-,1.3,8.6,-,-
2015,2,Lake Macquarie,Total,2 Bedrooms,-,330,-,-,-,3.1,0.0,-,-
2015,2,Maitland,Total,2 Bedrooms,-,270,-,-,-,-0.9,-1.8,-,-
2015,2,Newcastle,Total,2 Bedrooms,-,360,-,-,-,-1.4,0.0,-,-
2015,2,Port Stephens,Total,2 Bedrooms,-,285,-,-,-,0.0,-1.7,-,-
2015,2,Shellharbour,Total,2 Bedrooms,-,330,-,-,-,6.5,10.0,-,-
2015,2,Wollongong,Total,2 Bedrooms,-,350,-,-,-,0.0,8.5,-,-
2015,2,Cessnock,Total,3 Bedrooms,-,300,-,-,-,0.0,0.0,-,-
2015,2,Kiama,Total,3 Bedrooms,-,450,-,-,-,-2.2,0.0,-,-
2015,2,Lake Macquarie,Total,3 Bedrooms,-,380,-,-,-,0.0,0.0,-,-
2015,2,Maitland,Total,3 Bedrooms,-,340,-,-,-,3.0,3.0,-,-
2015,2,Newcastle,Total,3 Bedrooms,-,410,-,-,-,-2.4,0.6,-,-
2015,2,Port Stephens,Total,3 Bedrooms,-,350,-,-,-,0.0,-1.4,-,-
2015,2,Shellharbour,Total,3 Bedrooms,-,415,-,-,-,1.2,5.1,-,-
2015,2,Wollongong,Total,3 Bedrooms,-,450,-,-,-,0.0,9.8,-,-
2015,2,Cessnock,Total,4 or more Bedrooms,-,370,-,-,-,-2.6,-2.6,-,-
2015,2,Kiama,Total,4 or more Bedrooms,-,530,-,-,-,6.0,-2.8,-,-
2015,2,Lake Macquarie,Total,4 or more Bedrooms,-,480,-,-,-,2.1,1.6,-,-
2015,2,Maitland,Total,4 or more Bedrooms,-,398,-,-,-,1.9,-0.6,-,-
2015,2,Newcastle,Total,4 or more Bedrooms,-,480,-,-,-,5.5,2.1,-,-
2015,2,Port Stephens,Total,4 or more Bedrooms,-,423,-,-,-,-4.0,0.6,-,-
2015,2,Shellharbour,Total,4 or more Bedrooms,-,530,-,-,-,1.9,6.0,-,-
2015,2,Wollongong,Total,4 or more Bedrooms,-,580,-,-,-,4.5,13.7,-,-
2015,2,Ashfield,House,2 Bedrooms,520,590,680,-,-,-,-,-,-
2015,2,Botany Bay,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Lane Cove,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Leichhardt,House,2 Bedrooms,620,655,770,-,-,-7.7,-1.1,-,-
2015,2,Marrickville,House,2 Bedrooms,595,650,700,-,-,3.2,0.0,-,-
2015,2,Mosman,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,North Sydney,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Randwick,House,2 Bedrooms,650,660,800,-,-,-4.4,-,-,-
2015,2,Sydney,House,2 Bedrooms,610,690,800,-,-,-5.5,3.0,-,-
2015,2,Waverley,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Woollahra,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Ashfield,House,3 Bedrooms,600,715,800,-,-,0.7,10.0,-,-
2015,2,Botany Bay,House,3 Bedrooms,690,735,800,-,-,1.4,3.5,-,-
2015,2,Lane Cove,House,3 Bedrooms,750,875,980,-,-,-0.6,-3.3,-,-
2015,2,Leichhardt,House,3 Bedrooms,725,850,1000,-,-,2.4,0.0,-,-
2015,2,Marrickville,House,3 Bedrooms,695,750,825,-,-,-3.2,0.3,-,-
2015,2,Mosman,House,3 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,North Sydney,House,3 Bedrooms,895,1100,1400,-,-,0.0,0.5,-,-
2015,2,Randwick,House,3 Bedrooms,790,870,1000,-,-,0.3,2.4,-,-
2015,2,Sydney,House,3 Bedrooms,800,880,1000,-,-,0.0,10.0,-,-
2015,2,Waverley,House,3 Bedrooms,950,1100,1300,-,-,4.8,4.8,-,-
2015,2,Woollahra,House,3 Bedrooms,1050,1100,1500,-,-,-4.3,4.8,-,-
2015,2,Auburn,House,2 Bedrooms,380,415,463,-,-,3.8,-3.5,-,-
2015,2,Bankstown,House,2 Bedrooms,400,420,450,-,-,0.0,5.0,-,-
2015,2,Burwood,House,2 Bedrooms,450,495,595,-,-,-,-,-,-
2015,2,Canterbury,House,2 Bedrooms,440,480,533,-,-,-3.5,-1.0,-,-
2015,2,Canada Bay,House,2 Bedrooms,620,650,750,-,-,11.6,11.6,-,-
2015,2,Hunters Hill,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Hurstville,House,2 Bedrooms,420,470,540,-,-,9.3,0.0,-,-
2015,2,Kogarah,House,2 Bedrooms,440,480,520,-,-,2.1,6.7,-,-
2015,2,Ku-ring-gai,House,2 Bedrooms,555,590,655,-,-,-,-,-,-
2015,2,Manly,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Parramatta,House,2 Bedrooms,400,430,480,-,-,4.9,7.5,-,-
2015,2,Rockdale,House,2 Bedrooms,400,450,540,-,-,-5.3,2.3,-,-
2015,2,Ryde,House,2 Bedrooms,460,520,555,-,-,4.0,4.0,-,-
2015,2,Strathfield,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Willoughby,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Auburn,House,3 Bedrooms,450,500,550,-,-,-1.5,3.6,-,-
2015,2,Bankstown,House,3 Bedrooms,450,495,540,-,-,-1.0,3.1,-,-
2015,2,Burwood,House,3 Bedrooms,550,605,683,-,-,0.8,0.0,-,-
2015,2,Canterbury,House,3 Bedrooms,500,550,620,-,-,0.0,0.0,-,-
2015,2,Canada Bay,House,3 Bedrooms,650,750,840,-,-,4.2,7.1,-,-
2015,2,Hunters Hill,House,3 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Hurstville,House,3 Bedrooms,530,570,625,-,-,4.6,3.6,-,-
2015,2,Kogarah,House,3 Bedrooms,540,580,650,-,-,-0.4,1.8,-,-
2015,2,Ku-ring-gai,House,3 Bedrooms,720,810,890,-,-,3.8,2.9,-,-
2015,2,Manly,House,3 Bedrooms,800,1000,1200,-,-,-8.9,5.3,-,-
2015,2,Parramatta,House,3 Bedrooms,450,495,540,-,-,1.0,5.9,-,-
2015,2,Rockdale,House,3 Bedrooms,550,600,670,-,-,0.0,1.7,-,-
2015,2,Ryde,House,3 Bedrooms,580,620,700,-,-,-4.6,3.3,-,-
2015,2,Strathfield,House,3 Bedrooms,550,620,740,-,-,5.1,10.7,-,-
2015,2,Willoughby,House,3 Bedrooms,800,930,980,-,-,8.1,4.8,-,-
2015,2,The Hills Shire,House,2 Bedrooms,410,463,525,-,-,12.8,5.1,-,-
2015,2,Blacktown,House,2 Bedrooms,340,370,390,-,-,5.7,5.7,-,-
2015,2,Blue Mountains,House,2 Bedrooms,333,350,393,-,-,2.9,6.1,-,-
2015,2,Camden,House,2 Bedrooms,340,370,420,-,-,-,-,-,-
2015,2,Campbelltown,House,2 Bedrooms,315,340,363,-,-,-4.2,0.0,-,-
2015,2,Fairfield,House,2 Bedrooms,340,360,400,-,-,-7.7,0.0,-,-
2015,2,Gosford,House,2 Bedrooms,335,370,395,-,-,2.8,7.2,-,-
2015,2,Hawkesbury,House,2 Bedrooms,320,340,380,-,-,-2.9,-,-,-
2015,2,Holroyd,House,2 Bedrooms,360,400,450,-,-,0.0,1.9,-,-
2015,2,Hornsby,House,2 Bedrooms,420,465,520,-,-,-1.1,1.1,-,-
2015,2,Liverpool,House,2 Bedrooms,320,345,380,-,-,-9.2,-4.2,-,-
2015,2,Penrith,House,2 Bedrooms,263,320,350,-,-,-5.9,0.0,-,-
2015,2,Pittwater,House,2 Bedrooms,550,650,695,-,-,-,-,-,-
2015,2,Sutherland,House,2 Bedrooms,465,480,550,-,-,-8.1,0.0,-,-
2015,2,Warringah,House,2 Bedrooms,575,650,685,-,-,-4.4,-,-,-
2015,2,Wollondilly,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,2,Wyong,House,2 Bedrooms,290,310,335,-,-,-3.1,0.0,-,-
2015,2,The Hills Shire,House,3 Bedrooms,500,550,620,-,-,0.0,0.0,-,-
2015,2,Blacktown,House,3 Bedrooms,375,410,450,-,-,0.0,2.5,-,-
2015,2,Blue Mountains,House,3 Bedrooms,370,400,440,-,-,0.0,0.0,-,-
2015,2,Camden,House,3 Bedrooms,420,443,468,-,-,2.3,2.9,-,-
2015,2,Campbelltown,House,3 Bedrooms,370,400,430,-,-,1.3,2.6,-,-
2015,2,Fairfield,House,3 Bedrooms,400,440,470,-,-,2.3,2.3,-,-
2015,2,Gosford,House,3 Bedrooms,400,445,493,-,-,6.0,11.3,-,-
2015,2,Hawkesbury,House,3 Bedrooms,390,425,480,-,-,0.6,1.2,-,-
2015,2,Holroyd,House,3 Bedrooms,440,460,500,-,-,0.0,2.2,-,-
2015,2,Hornsby,House,3 Bedrooms,560,600,650,-,-,0.0,1.7,-,-
